Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2021-11-04,8.5,55.7,11.6,290.1
2021-11-05,9.9,36.1,17.1,258.3
2021-11-06,3.1,44.4,13.8,225.9
2021-11-07,1.1,47.7,13.2,291.9
2021-11-08,1.9,38.7,15.2,230
2021-11-09,-0.6,61.7,13.9,202.7
2021-11-10,3.1,31.8,22.5,288
2021-11-11,-0.6,40.5,10.3,215
2021-11-12,1.8,63.1,11.4,220.3
2021-11-13,3.7,47.7,16.3,272.9
2021-11-14,3,66.6,9.6,173.3
2021-11-15,1.6,90.5,11.2,138.7
2021-11-16,-2.5,63.6,39.3,333
2021-11-17,-4.3,53.3,10,217.8
2021-11-18,-0.1,41.1,13.1,283.9
2021-11-19,-3,62,6.3,259.5
2021-11-20,-2.8,58,21.1,187
2021-11-21,-1.4,58.8,15.7,211.1
2021-11-22,6.5,38.1,11.1,222.8
2021-11-23,-1.6,70.8,14.3,24.4
2021-11-24,-3.8,72.3,10.8,187.2
2021-11-25,7.5,41.7,15.4,274
2021-11-26,5.4,50.5,15.5,264.2
2021-11-27,-1.8,92,16.4,181.9
2021-11-28,4.7,69.5,10.5,196.2
2021-11-29,4.5,54.9,13.8,253.3
2021-11-30,4.9,52.2,8.5,187.3
2021-12-01,3.9,74.7,13.2,65.2
2021-12-02,-1.5,87.5,16.1,84.6
2021-12-03,-4.4,76.8,9.8,192.8
2021-12-04,-6.2,69.2,10.5,244.8
2021-12-05,-12.5,72.8,14,3.3
2021-12-06,-11.3,78.6,9.8,219.8
2021-12-07,-5.6,63.9,10.9,182.7
2021-12-08,0.3,61.3,20.6,285
2021-12-09,-4.9,40.9,11.2,276.6
2021-12-10,-3.6,37.1,21.3,274.5
2021-12-11,-1,61.8,21.7,250.8
2021-12-12,-4.4,64.6,12,263.8
2021-12-13,-10.7,75.8,11,338.5
2021-12-14,-16,74.1,19,349.1
2021-12-15,-18.6,75,9.4,184.4
2021-12-16,-17.9,77.3,22.4,354.1
2021-12-17,-20.3,70.4,9.6,238.9
2021-12-18,-7.8,65.7,10,162.6
2021-12-19,-11.5,67.1,16.1,323.4
2021-12-20,-16.5,70.8,6.5,340.3
2021-12-21,-8.4,64.6,5.8,169.1
2021-12-22,-4.7,67.2,6.8,355.5
2021-12-23,-10.2,78.9,18.9,343
2021-12-24,-20.3,73.2,12.8,12.1
2021-12-25,-25.7,71,10,36.3
2021-12-26,-27.8,69.4,10.1,29.1
2021-12-27,-30.1,74,9.8,202.6
2021-12-28,-22.1,74.8,14.3,287.6
2021-12-29,-23.3,65.3,14.3,235.1
2021-12-30,-19,75.3,12,11.5
2021-12-31,-23.2,74,6.1,277.7
2022-01-01,-13.9,59.2,12.1,202.5
2022-01-02,-3,52.5,25.3,323.8
2022-01-03,-21.3,80.2,21.5,31.6
2022-01-04,-26.2,69.4,21.2,351.8
2022-01-05,-26.6,71,9.9,58
2022-01-06,-26.5,75.2,14.1,169.5
2022-01-07,-23.2,73.1,15.6,4.4
2022-01-08,-20.2,66,11.3,241.3
2022-01-09,-15.8,68.9,9.6,189.5
2022-01-10,2.7,46.2,9.1,268.6
2022-01-11,4.2,45.4,14.4,271.4
2022-01-12,5.5,51.4,16,275.3
2022-01-13,1.5,78.2,15.3,330.1
2022-01-14,0.6,75.1,16.9,223.4
2022-01-15,6.5,41.8,17.4,287.1
2022-01-16,-0.1,61.5,9.7,192.7
2022-01-17,5.8,48.4,26.6,296.5
2022-01-18,-16.2,72,19.4,47.7
2022-01-19,-16.5,75.7,14.3,190.1
2022-01-20,2.2,51,19.2,249.2
2022-01-21,1.9,62,10.5,279.8
2022-01-22,6.9,45.5,15.2,265.7
2022-01-23,7,33.8,16.9,297.4
2022-01-24,0.8,71.8,20.5,334.2
2022-01-25,1.5,50.6,18.9,255
2022-01-26,0.8,45.5,18,341.2
2022-01-27,0.3,40,14.6,262.3
2022-01-28,6.5,17,16.8,285
